configuration,number_of_features,fold,seed,best_epoch,best_validation_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
Vision-only LSTM,12,4,50,9,0.5639497022333885,0.9184861717612809,0.6988508682328907,0.6887694145758662,0.6936070010071779,0.9234052027367106
Vision-only LSTM,12,4,51,3,0.7908513273583019,0.9170305676855895,0.7105005488277607,0.6899320577923715,0.6999735594350418,0.93019700545609
Vision-only LSTM,12,5,42,3,0.5377774169859896,0.6808510638297872,0.4100274725274725,0.4285714285714286,0.4190907132083602,0.6662815699111068
Vision-only LSTM,12,5,43,3,0.5966638234176476,0.7361702127659574,0.39876157873540075,0.4774436090225564,0.43182643427741463,0.6806973222701215
Vision-only LSTM,12,5,44,5,0.6557606266229657,0.7276595744680852,0.3773984983314794,0.4714619883040936,0.4139824945295405,0.6596260533544392
Vision-only LSTM,12,5,45,4,0.711257267048274,0.574468085106383,0.3692919983242564,0.33689223057644113,0.34961574289706565,0.5863287714673616
Vision-only LSTM,12,5,46,3,0.645421150782823,0.7191489361702128,0.41918208373904575,0.462406015037594,0.43925611481706084,0.6891070883277636
Vision-only LSTM,12,5,47,3,0.6890611393021837,0.7510638297872341,0.3789127539127539,0.4906015037593985,0.4209222150398621,0.6683546741118706
Vision-only LSTM,12,5,48,5,0.7096206898209434,0.5787234042553191,0.36762565288123983,0.34218880534670004,0.35292904677101883,0.5891941456955228
Vision-only LSTM,12,5,49,38,0.6925414820480896,0.6829787234042554,0.40939869989165767,0.43045112781954886,0.41964349376114085,0.666907270451701
Vision-only LSTM,12,5,50,6,0.6429873171967281,0.7446808510638298,0.38704873108542837,0.4872681704260652,0.4257572349677613,0.6725144603644044
Vision-only LSTM,12,5,51,4,0.7166144290560197,0.6702127659574468,0.4098175296319401,0.423015873015873,0.4162834228913524,0.6609059076019429
Fusion-LSTM without derivatives,10,1,42,20,0.42835723188563213,0.8640167364016736,0.637462991988854,0.6058965332517028,0.6106720318542979,0.8415434007082296
Fusion-LSTM without derivatives,10,1,43,28,0.44956714989504226,0.8514644351464435,0.6299682362302094,0.5792645595775618,0.5801351041273666,0.817206818602123
Fusion-LSTM without derivatives,10,1,44,15,0.6261490375834441,0.8472803347280334,0.6137613762889094,0.5987793678732686,0.6033113584439466,0.8366656882539464
Fusion-LSTM without derivatives,10,1,45,4,0.3700600869375705,0.8514644351464435,0.6208012114537445,0.5954886354939926,0.6011990256112717,0.836087285133252
Fusion-LSTM without derivatives,10,1,46,3,0.42747472435923245,0.8535564853556485,0.6568376860124153,0.5766051886431469,0.5823252095151388,0.8259964809680913
Fusion-LSTM without derivatives,10,1,47,10,0.35099963570478326,0.8535564853556485,0.6236234322594558,0.6029693120073467,0.6090317684354382,0.8422055352211583
